,movie_title,movie_id,tags
21,Robin Hood,tt0955308,action adventure drama history 1190s archer england king of england robin hood markaddy williamhurt scottgrimes ridleyscott
22,The Hobbit: The Desolation of Smaug,tt1170358,adventure fantasy dwarf elf lake town mountain sword and sorcery aidanturner adambrown jamesnesbitt peterjackson
23,The Golden Compass,tt0385752,adventure family fantasy children epic friend girl quest christopherlee evagreen kristinscottthomas chrisweitz
24,King Kong,tt0360717,action adventure drama romance animal name in title ape abducts a woman gorilla island king kong naomiwatts thomaskretschmann evanparke peterjackson
25,Titanic,tt0120338,drama romance artist love ship titanic wet leonardodicaprio katewinslet gloriastuart jamescameron
26,Captain America: Civil War,tt3498820,action adventure sci-fi based on comic book knife marvel cinematic universe returning character killed off superhero robertdowneyjr. scarlettjohansson chrisevans anthonyrusso
27,Battleship,tt1440129,action adventure sci-fi thriller box office flop hawaii naval oahu hawaii ship liamneeson alexanderskarsgård tadanobuasano peterberg
28,Jurassic World,tt0369610,action adventure sci-fi thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor brycedallashoward judygreer omarsy colintrevorrow
29,Skyfall,tt1074638,action adventure thriller brawl childhood home computer cracker intelligence agency terrorist cell albertfinney helenmccrory rorykinnear sammendes
30,Spider-Man 2,tt0316654,action adventure fantasy romance death doctor scientist super villain tentacle j.k.simmons jamesfranco kirstendunst samraimi
31,Iron Man 3,tt1300854,action adventure sci-fi armor explosion human bomb missile attack terrorist robertdowneyjr. jonfavreau doncheadle shaneblack
32,Alice in Wonderland,tt1014759,adventure family fantasy alice in wonderland mistaking reality for dream queen shrinking shrinking potion johnnydepp alanrickman annehathaway timburton
33,X-Men: The Last Stand,tt0376994,action adventure fantasy sci-fi thriller battle mutant outrage walking through a wall x men hughjackman kelseygrammer danielcudmore brettratner
34,Monsters University,tt1453405,adventure animation comedy family fantasy cheating fraternity monster singing in a car university stevebuscemi tylerlabine seanhayes danscanlon
35,Transformers: Revenge of the Fallen,tt1055369,action adventure sci-fi autobot decepticon machine sun symbol glennmorshower kevindunn ramonrodriguez michaelbay
36,Transformers: Age of Extinction,tt2109248,action adventure sci-fi blockbuster bumblebee the character semi truck and trailer texas truck bingbingli sophiamyles kelseygrammer michaelbay
37,Oz the Great and Powerful,tt1623205,adventure family fantasy circus magic magician oz witch timholmes milakunis jamesfranco samraimi
38,The Amazing Spider-Man 2,tt1872181,action adventure fantasy sci-fi costumed hero death of girlfriend masked vigilante returning character killed off teenager emmastone andrewgarfield b.j.novak marcwebb
39,TRON: Legacy,tt1104001,action adventure sci-fi arcade bridge disappearance escape warrior jeffbridges oliviawilde jamesfrain josephkosinski
40,Cars 2,tt1216475,adventure animation comedy family sport best friend car race conspiracy gadget car spy joemantegna thomaskretschmann eddieizzard johnlasseter
41,Green Lantern,tt1133985,action adventure sci-fi autopsy lantern planet ring test pilot ryanreynolds temueramorrison taikawaititi martincampbell
42,Toy Story 3,tt0435761,adventure animation comedy family fantasy college day care escape teddy bear toy tomhanks johnratzenberger donrickles leeunkrich
43,Terminator Salvation,tt0438488,action adventure sci-fi death row future machine rescue skynet christianbale brycedallashoward common mcg
44,Furious 7,tt2820852,action crime thriller car falling off a cliff hospital revenge star died before release terrorist jasonstatham paulwalker vindiesel jameswan
45,World War Z,tt0816711,action adventure horror sci-fi thriller chaos disease infection pandemic zombie petercapaldi bradpitt mireilleenos marcforster
46,X-Men: Days of Future Past,tt1877832,action adventure fantasy sci-fi thriller dystopia super strength supernatural power time paradox time travel jenniferlawrence peterdinklage hughjackman bryansinger
47,Star Trek Into Darkness,tt1408101,action adventure sci-fi admiral captain manhunt mission space benedictcumberbatch brucegreenwood noelclarke j.j.abrams
48,Jack the Giant Slayer,tt1351685,adventure fantasy bean giant king no opening credits princess eddiemarsan ewenbremner ralphbrown bryansinger
49,The Great Gatsby,tt1343092,drama romance ingratitude mansion party title appears in writing tragedy leonardodicaprio elizabethdebicki stevebisley bazluhrmann
50,Prince of Persia: The Sands of Time,tt0473075,action adventure fantasy romance alamut dagger king persia princess jakegyllenhaal richardcoyle reeceritchie mikenewell
51,Pacific Rim,tt1663662,action adventure sci-fi giant monster kaiju pilot portal robot charliehunnam cliftoncollinsjr. larryjoecampbell guillermodeltoro
52,Transformers: Dark of the Moon,tt1399103,action adventure sci-fi autobot decepticon job interview moon spacecraft glennmorshower lesterspeight kevindunn michaelbay
53,Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,action adventure fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957 harrisonford raywinstone jimbroadbent stevenspielberg
54,Brave,tt1217209,adventure animation comedy family fantasy archery coming of age female warrior princess rebellious daughter kellymacdonald johnratzenberger juliewalters markandrews
55,Star Trek Beyond,tt2660888,action adventure sci-fi thriller hatred sequel space opera star trek third part sofiaboutella melissaroxburgh lydiawilson justinlin
56,WALL·E,tt0910970,adventure animation family sci-fi earth obesity plant robot soil johnratzenberger fredwillard jeffgarlin andrewstanton
57,Rush Hour 3,tt0293564,action comedy crime thriller ambassador assassination chinese french triad tzima danaivey noémielenoir brettratner
58,2012,tt1190080,action adventure sci-fi ark catastrophe geologist president writer oliverplatt liamjames tommccarthy rolandemmerich
59,A Christmas Carol,tt1067106,animation drama family fantasy charles dickens christmas christmas eve ghost scrooge robinwright colinfirth garyoldman robertzemeckis
60,Jupiter Ascending,tt1617661,action adventure sci-fi box office flop critically bashed planet earth space opera woman in bra and panties channingtatum milakunis eddieredmayne lanawachowski
61,The Legend of Tarzan,tt0918940,action adventure drama romance africa capture jungle male objectification tarzan christophwaltz alexanderskarsgård caspercrump davidyates
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,adventure family fantasy hide and seek lion magic professor snow jimbroadbent kiranshah shanerangi andrewadamson
63,X-Men: Apocalypse,tt3385516,action adventure sci-fi mutant superhero superhero team x men year 1983 jenniferlawrence michaelfassbender tyesheridan bryansinger
64,The Dark Knight,tt0468569,action crime drama thriller based on comic book dc comics psychopath star died before release urban setting christianbale heathledger morganfreeman christophernolan
65,Up,tt1049413,adventure animation comedy family balloon house promise retirement skeleton johnratzenberger delroylindo jessharnell petedocter
66,Monsters vs. Aliens,tt0892782,action adventure animation comedy family sci-fi alien alien invasion alien space craft giant giantess amypoehler rainnwilson stephencolbert robletterman
67,Iron Man,tt0371746,action adventure sci-fi afghanistan billionaire inventor playboy u.s. air force robertdowneyjr. jeffbridges jonfavreau jonfavreau
68,Hugo,tt0970179,adventure drama family mystery automaton mechanical railway station steampunk train chloëgracemoretz christopherlee raywinstone martinscorsese
69,Wild Wild West,tt0120891,action comedy sci-fi western buddy movie general inventor steampunk utah willsmith salmahayek bailing barrysonnenfeld
70,The Mummy: Tomb of the Dragon Emperor,tt0859163,action adventure fantasy horror thriller army china emperor mummy shangri la jetli brendanfraser russellwong robcohen
71,Suicide Squad,tt1386697,action adventure comedy sci-fi based on comic book critically bashed father daughter relationship reference to superman super villain willsmith robinatkindownes ikebarinholtz davidayer
72,Evan Almighty,tt0413099,comedy family fantasy ark change congressman depiction of god flood jimmybennett morganfreeman stevecarell tomshadyac
73,Edge of Tomorrow,tt1631867,action adventure sci-fi alien combat dying repeatedly end of the world time loop tomcruise larapulver noahtaylor dougliman
74,Waterworld,tt0114898,action adventure sci-fi thriller future sail sea smoker water jeannetripplehorn rickaviles zakesmokae kevinreynolds
75,G.I. Joe: The Rise of Cobra,tt1046173,action adventure sci-fi thriller cobra gi joe snake train warhead josephgordon-levitt dennisquaid leohoward stephensommers
76,Inside Out,tt2096673,adventure animation comedy drama family fantasy anger joy memory running away sadness amypoehler mindykaling phyllissmith petedocter
77,The Jungle Book,tt3040964,adventure drama family fantasy fire jungle remake tiger wolf scarlettjohansson billmurray garryshandling jonfavreau
78,Iron Man 2,tt1228705,action adventure sci-fi hammer military monaco revenge tony stark robertdowneyjr. scarlettjohansson jonfavreau jonfavreau
79,Snow White and the Huntsman,tt1735898,action adventure drama fantasy evil queen fairy tale magic queen snow white chrishemsworth kristenstewart samclaflin rupertsanders
80,Maleficent,tt1587310,action adventure family fantasy romance curse dark fantasy fairy king kingdom angelinajoliepitt sharltocopley samriley robertstromberg
81,Dawn of the Planet of the Apes,tt2103281,action adventure drama sci-fi ape dam leader post apocalypse sequel garyoldman judygreer kodismit-mcphee mattreeves
82,47 Ronin,tt1335975,action adventure drama fantasy box office flop ronin samurai shogun tournament keanureeves cary-hiroyukitagawa jinakanishi carlrinsch
83,Captain America: The Winter Soldier,tt1843866,action adventure sci-fi conspiracy heroism megalomaniac super soldier world domination scarlettjohansson chrisevans hayleyatwell anthonyrusso
84,Shrek Forever After,tt0892791,adventure animation comedy family fantasy alternate world fairy tale parody female warrior ogre true love jonhamm kathygriffin marykayplace mikemitchell
85,Tomorrowland,tt1964418,action adventure family mystery sci-fi boy genius futuristic city inventor teenage girl time travel judygreer chrisbauer thomasrobinson bradbird
86,Big Hero 6,tt2245084,action adventure animation comedy drama family sci-fi high tech martial arts masked man robot superhero damonwayansjr. danielhenney abrahambenrubi donhall
87,Wreck-It Ralph,tt1772341,adventure animation comedy family sci-fi arcade candy glitch king medal jackmcbrayer sarahsilverman joelotruglio richmoore
88,The Polar Express,tt0338348,adventure animation family fantasy boy christmas christmas eve north pole train tomhanks eddiedeezen peterscolari robertzemeckis
89,Independence Day: Resurgence,tt1628841,action adventure sci-fi alien battle defense independence day mothership vivicaa.fox selaward juddhirsch rolandemmerich
90,How to Train Your Dragon,tt0892769,adventure animation family fantasy dragon island training viking village gerardbutler americaferrera craigferguson deandeblois
91,Terminator 3: Rise of the Machines,tt0181852,action sci-fi drifter exploding truck future machine skynet nickstahl m.c.gainey carolynhennesy jonathanmostow
92,Guardians of the Galaxy,tt2015381,action adventure sci-fi bounty hunter outer space raccoon talking animal tree bradleycooper vindiesel djimonhounsou jamesgunn
93,Interstellar,tt0816692,adventure drama sci-fi black hole father daughter relationship saving the world space travel wormhole matthewmcconaughey annehathaway mackenziefoy christophernolan
94,Inception,tt1375666,action adventure sci-fi thriller ambiguous ending corporate espionage dream subconscious thief leonardodicaprio tomhardy josephgordon-levitt christophernolan
95,The Hobbit: An Unexpected Journey,tt0903624,adventure fantasy dragon dwarf hobbit orc wizard aidanturner adambrown jamesnesbitt peterjackson
96,The Fast and the Furious,tt0232500,action crime thriller eighteen wheeler illegal street racing truck trucker undercover cop paulwalker vindiesel jordanabrewster robcohen
97,The Curious Case of Benjamin Button,tt0421715,drama fantasy romance deformed baby diary lingerie slip older man younger woman relationship premature aging bradpitt jasonflemyng juliaormond davidfincher
98,X-Men: First Class,tt1270798,action adventure sci-fi cia cia agent mutant nuclear war professor jenniferlawrence michaelfassbender oliverplatt matthewvaughn
99,The Hunger Games: Mockingjay - Part 2,tt1951266,adventure sci-fi death of sister dystopia execution rebellion revolution jenniferlawrence philipseymourhoffman joshhutcherson francislawrence
100,The Sorcerer's Apprentice,tt0963966,action adventure family fantasy chosen one enchanted object love spell training nicolascage omarbensonmiller robertcapron jonturteltaub
101,Poseidon,tt0409182,action adventure drama thriller cruise escape ocean passenger water jimmybennett mikevogel andrebraugher wolfgangpetersen
102,Alice Through the Looking Glass,tt2567026,adventure family fantasy clock dark fantasy mad hatter queen sequel johnnydepp alanrickman annehathaway jamesbobin
103,Shrek the Third,tt0413267,adventure animation comedy family fantasy disney spoof fairy tale prince princess tough guy justintimberlake ericidle ruperteverett chrismiller
104,Warcraft,tt0803096,action adventure fantasy based on video game fictional language fictional war orc sword and sorcery dominiccooper callumrennie ruthnegga duncanjones
105,Terminator Genisys,tt1340138,action adventure sci-fi alternate timeline cyborg future robot time machine j.k.simmons emiliaclarke mattsmith alantaylor
106,The Chronicles of Narnia: The Voyage of the Dawn Treader,tt0980970,adventure family fantasy dragon king mouse quest warrior brucespence shanerangi laurabrent michaelapted
107,Pearl Harbor,tt0213149,action drama history romance war air raid black smoke japanese military japanese navy sunday jennifergarner jaimeking mako michaelbay
108,Transformers,tt0418279,action adventure sci-fi alien contact autobot decepticon robot vs. robot teenage hero zackward michaelo'neill kevindunn michaelbay
109,Alexander,tt0346491,action adventure biography drama history romance war ancient greece conquest greek greek myth king anthonyhopkins angelinajoliepitt brianblessed oliverstone
110,Harry Potter and the Order of the Phoenix,tt0373889,adventure family fantasy mystery battle magic school teacher wizard robertpattinson danielradcliffe fionashaw davidyates
111,Harry Potter and the Goblet of Fire,tt0330373,adventure family fantasy mystery fire goblet magic tournament wizard robertpattinson danielradcliffe rupertgrint mikenewell
112,Hancock,tt0448157,action drama bully comeuppance destruction prison superhero tough girl willsmith charlizetheron eddiemarsan peterberg
113,I Am Legend,tt0480249,drama horror sci-fi new york city pandemic post apocalypse survivalist virus willsmith alicebraga willowsmith francislawrence
114,Charlie and the Chocolate Factory,tt0367594,adventure comedy family fantasy chocolate diminution miniaturization physical flexability ticket johnnydepp christopherlee davidkelly timburton
115,Ratatouille,tt0382932,animation comedy family fantasy chef food french rat restaurant janeanegarofalo johnratzenberger briandennehy bradbird
116,Batman Begins,tt0372784,action adventure armored car gangster gotham mixed martial arts social decay christianbale liamneeson morganfreeman christophernolan
117,Madagascar: Escape 2 Africa,tt0479952,action adventure animation comedy family africa madagascar new york city sequel zoo berniemac jadapinkettsmith cedrictheentertainer ericdarnell
118,Night at the Museum: Battle of the Smithsonian,tt1078912,adventure comedy family fantasy hdtv motorcycle museum security guard tyrannosaurus rex robinwilliams ramimalek stevecoogan shawnlevy
119,X-Men Origins: Wolverine,tt0458525,action adventure fantasy sci-fi thriller army civil war claw fight commando wolverine the character hughjackman ryanreynolds dominicmonaghan gavinhood
120,The Matrix Revolutions,tt0242653,action sci-fi battle epic fight future machine essiedavis collinchou nonagaye lanawachowski
121,Frozen,tt2294629,adventure animation comedy family fantasy musical magic sister love sister sister relationship snow snowman joshgad mauricelamarche livvystubenrauch chrisbuck
122,The Matrix Reloaded,tt0234215,action sci-fi car motorcycle chase one against many oracle prophecy stylized violence stevebastoni danielbernhardt helmutbakaitis lanawachowski
123,Thor: The Dark World,tt1981115,action adventure fantasy arrest portal thor warrior weapon chrishemsworth natalieportman anthonyhopkins alantaylor
124,Mad Max: Fury Road,tt1392190,action adventure sci-fi thriller australia desert escape on the run post apocalypse tomhardy charlizetheron zoëkravitz georgemiller
125,Angels & Demons,tt0808151,mystery thriller conclave illuminati murder reference to bernini reference to raphael tomhanks ayeletzurer arminmueller-stahl ronhoward
126,Thor,tt0800369,action adventure fantasy battle marvel cinematic universe scientist thor throne chrishemsworth natalieportman anthonyhopkins kennethbranagh
127,Bolt,tt0397892,adventure animation comedy drama family cat dog hamster new york city superpower chloëgracemoretz diedrichbader jameslipton byronhoward
128,G-Force,tt0436339,action adventure animation comedy family fantasy sci-fi fbi director guinea pig household appliance secret agent talking mouse kelligarner pipermackenzieharris niecynash hoytyeatman
129,Wrath of the Titans,tt1646987,action adventure fantasy ares hades titan underworld zeus liamneeson edgarramírez lilyjames jonathanliebesman
130,Dark Shadows,tt1077368,comedy fantasy horror camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup johnnydepp chloëgracemoretz christopherlee timburton
131,Mission: Impossible - Rogue Nation,tt2381249,action adventure thriller capture computer hacker mission rogue agent spy tomcruise jeremyrenner seanharris christophermcquarrie
132,The Wolfman,tt0780653,drama fantasy horror thriller asylum death full moon transformation werewolf anthonyhopkins simonmerrells artmalik joejohnston
133,Bee Movie,tt0389790,adventure animation comedy family bee dream sequence egg scatological humor squashed bug matthewbroderick oprahwinfrey riptorn stevehickner
134,Kung Fu Panda 2,tt1302011,action adventure animation comedy family china kung fu panda peacock tigress angelinajoliepitt garyoldman mikebell jenniferyuhnelson
135,The Last Airbender,tt0938283,action adventure family fantasy avatar fire kingdom tribe water seychellegabriel noahringer aasifmandvi m.nightshyamalan
136,Mission: Impossible III,tt0317919,action adventure thriller arms dealer fictional government agency mission rescue vatican philipseymourhoffman tomcruise eddiemarsan j.j.abrams
137,White House Down,tt2334879,action drama thriller black u.s. president president secret service tour white house channingtatum jakeweber mattcraven rolandemmerich
138,Mars Needs Moms,tt1305591,action adventure animation comedy family sci-fi boy martian rescue robot sexism elisabethharnois danfogler tomeverettscott simonwells
139,Flushed Away,tt0424095,adventure animation comedy family boat frog rat sewer toad hughjackman katewinslet davidsuchet davidbowers
140,Pan,tt3332064,adventure family fantasy 1940s child hero fantasy world orphan reference to peter pan hughjackman caradelevingne nonsoanozie joewright
141,Mr. Peabody & Sherman,tt0864835,adventure animation comedy family sci-fi dog father son relationship inventor talking dog time travel tyburrell zachcallison karanbrar robminkoff
142,Troy,tt0332452,adventure greek mythology prince trojan troy bradpitt orlandobloom julianglover wolfgangpetersen
143,Madagascar 3: Europe's Most Wanted,tt1277953,adventure animation comedy family animal circus island name in title lemur penguin jadapinkettsmith martinshort cedrictheentertainer ericdarnell
144,Die Another Day,tt0246460,action adventure thriller catfight clinic colonel diamond patricide tobystephens colinsalmon rickyune leetamahori
145,Ghostbusters,tt1289401,action comedy fantasy sci-fi ghost ghostbuster ghostbusters male objectification reboot edbegleyjr. katemckinnon zachwoods paulfeig
146,Armageddon,tt0120591,action adventure sci-fi thriller asteroid astronaut bomb meteorite outer space brucewillis stevebuscemi willpatton michaelbay
147,Men in Black II,tt0120912,action adventure comedy family fantasy mystery sci-fi alien lingerie lingerie model m.i.b. pug willsmith rosariodawson riptorn barrysonnenfeld
148,Beowulf,tt0442933,action adventure animation fantasy creature demon king reward warrior robinwright anthonyhopkins sebastianroché robertzemeckis
149,Kung Fu Panda 3,tt2267968,action adventure animation comedy family china kung fu panda pig village j.k.simmons angelinajoliepitt wayneknight alessandrocarloni
150,Mission: Impossible - Ghost Protocol,tt1229238,action adventure thriller dubai kremlin race against time russian terrorist tomcruise jeremyrenner michaelnyqvist bradbird
151,Rise of the Guardians,tt1446192,adventure animation family fantasy belief box office hit children new york city tooth hughjackman kamilmcfadden khamanigriffin peterramsey
152,Fun with Dick and Jane,tt0369441,comedy crime animal abuse ceo heist suburb unemployment johnmichaelhiggins richardburgi davidherman deanparisot
153,The Last Samurai,tt0325710,action drama history war captain emperor honor japan samurai tomcruise tonygoldwyn chadlindberg edwardzwick
154,Exodus: Gods and Kings,tt1528100,action adventure drama egypt exodus moses pharaoh plague christianbale maríavalverde benmendelsohn ridleyscott
155,Star Trek,tt0796366,action adventure sci-fi box office hit future lifted by the throat star trek vulcan chrishemsworth leonardnimoy brucegreenwood j.j.abrams
156,Spider-Man,tt0145487,action adventure fantasy romance evil goblin spider spider man superhero j.k.simmons jamesfranco kirstendunst samraimi
157,How to Train Your Dragon 2,tt1646971,action adventure animation comedy family fantasy dragon father son relationship husband wife relationship mother son relationship viking gerardbutler djimonhounsou americaferrera deandeblois
158,Gods of Egypt,tt2404233,action adventure fantasy ancient egypt egypt egyptian egyptian god egyptian goddess gerardbutler elodieyung bryanbrown alexproyas
159,Stealth,tt0382992,action adventure sci-fi thriller artificial intelligence box office flop fighter jet navy pilot samshepard joemorton richardroxburgh robcohen
160,Watchmen,tt0409459,action drama mystery sci-fi conspiracy cynicism false promise of the american dream male full frontal nudity male nudity mattfrewer billycrudup stephenmchattie zacksnyder
161,Lethal Weapon 4,tt0122151,action crime thriller kung fu lapd martial arts private investigator triad jetli renerusso darlenelove richarddonner
162,Hulk,tt0286716,action sci-fi 1980s c 130 hercules monster panzer san francisco california kevinrankin regidavis celiaweston anglee
163,G.I. Joe: Retaliation,tt1583421,action adventure sci-fi thriller general gi joe martial arts ninja president channingtatum dwaynejohnson elodieyung jonm.chu
164,Sahara,tt0318649,action adventure comedy thriller beach civil war desert dictator ship matthewmcconaughey rainnwilson delroylindo breckeisner
165,Final Fantasy: The Spirits Within,tt0173840,action adventure animation fantasy romance sci-fi general military scientist soldier year 2065 stevebuscemi ming-nawen jeansimmons hironobusakaguchi
166,Captain America: The First Avenger,tt0458339,action adventure sci-fi arctic captain america scientist tesseract war bond chrisevans dominiccooper hayleyatwell joejohnston
167,The World Is Not Enough,tt0143145,action adventure thriller british oil scientist terrorist tycoon colinsalmon mariagraziacucinotta desmondllewelyn michaelapted
168,Master and Commander: The Far Side of the World,tt0311113,action adventure drama history war 1800s napoleonic wars pursuit royal navy ship jamesd'arcy leeingleby davidthrelfall peterweir
169,The Twilight Saga: Breaking Dawn - Part 2,tt1673434,adventure drama fantasy romance battle friend super strength vampire vision robertpattinson kristenstewart taylorlautner billcondon
170,Happy Feet 2,tt1402488,animation comedy family musical 3d antarctica krill penguin sequel robinwilliams bradpitt common georgemiller
171,The Incredible Hulk,tt0800080,action adventure sci-fi antidote cure hulk marvel cinematic universe opening action scene tyburrell petermensah williamhurt louisleterrier
172,The BFG,tt3691740,adventure family fantasy cannibal evil brother giant london england queen markrylance penelopewilton rafespall stevenspielberg
173,The Revenant,tt1663202,adventure drama thriller western bear attack cauterizing a wound native american revenge survival leonardodicaprio tomhardy lukashaas alejandrog.iñárritu
174,Turbo,tt1860353,adventure animation comedy family sport accident freak accident race snail underdog ryanreynolds snoopdogg benschwartz davidsoren
175,Rango,tt1192628,adventure animation comedy family western chameleon lizard sheriff water western town johnnydepp raywinstone stephenroot goreverbinski
176,Penguins of Madagascar,tt1911658,adventure animation comedy family little girl park spy statue of liberty television van benedictcumberbatch annetmahendru andyrichter ericdarnell
177,The Bourne Ultimatum,tt0440963,action mystery thriller action hero cia dark past flashback memory mattdamon edgarramírez albertfinney paulgreengrass
178,Kung Fu Panda,tt0441773,action adventure animation comedy family kung fu kung fu master master panda snow leopard angelinajoliepitt wayneknight danfogler markosborne
179,Ant-Man,tt0478970,action adventure comedy sci-fi ant chinatown san francisco heist sabotage vault judygreer hayleyatwell t.i. peytonreed
180,The Hunger Games: Catching Fire,tt1951264,adventure sci-fi thriller president snow television tour uprising jenniferlawrence joshhutcherson sandraellislafferty francislawrence
181,Home,tt2224026,adventure animation comedy family fantasy sci-fi alien friendship alien invasion australia flying car mother daughter relationship jimparsons mattjones aprilwinchell timjohnson
182,War of the Worlds,tt0407304,adventure sci-fi thriller alien fight storm survival tripod tomcruise lisaannwalter rickgonzalez stevenspielberg
183,Bad Boys II,tt0172156,action comedy crime thriller cuba dea drugs money undercover willsmith henryrollins jordimollà michaelbay
184,Puss in Boots,tt0448694,action adventure animation comedy family fantasy betrayal egg friend goose hero salmahayek constancemarie amysedaris chrismiller
185,Salt,tt0944835,action crime mystery thriller cia on the run russian russian spy strong female lead angelinajoliepitt andrebraugher augustdiehl phillipnoyce
186,Noah,tt1959490,action adventure drama ark flood noah's ark water wrath of god anthonyhopkins emmawatson loganlerman darrenaronofsky
187,The Adventures of Tintin,tt0983193,action adventure family mystery captain morocco ship tintin treasure tobyjones mackenziecrook tonycurran stevenspielberg
188,Harry Potter and the Prisoner of Azkaban,tt0304141,adventure family fantasy mystery magic muggle serial killer traitor wizard danielradcliffe garyoldman rupertgrint alfonsocuarón
189,Australia,tt0455824,adventure drama romance war australia cattle darwin drover japanese essiedavis bryanbrown eddiebaroo bazluhrmann
190,After Earth,tt1815862,action adventure sci-fi box office flop father son team fear race against time real life father and son playing father and son willsmith zoëkravitz glennmorshower m.nightshyamalan
191,Dinosaur,tt0130623,adventure animation family thriller egg iguanodon lemur meteor nesting grounds alfrewoodard d.b.sweeney dellareese ericleighton
192,Night at the Museum: Secret of the Tomb,tt2692250,adventure comedy family fantasy museum museum of natural history manhattan new york city night watchman star died before release tablet robinwilliams ramimalek stevecoogan shawnlevy
193,Megamind,tt1001526,action animation comedy family sci-fi battle city planet prison superhero j.k.simmons bradpitt willferrell tommcgrath
194,Harry Potter and the Sorcerer's Stone,tt0241527,adventure family fantasy based on novel birthday evil wizard quidditch wizard danielradcliffe fionashaw vernetroyer chriscolumbus
195,R.I.P.D.,tt0790736,action comedy fantasy drug dealer gold partner police undead ryanreynolds jeffbridges stephanieszostak robertschwentke
196,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,action adventure fantasy caribbean curse governor pirate undead johnnydepp orlandobloom jackdavenport goreverbinski
197,The Hunger Games: Mockingjay - Part 1,tt1951265,adventure sci-fi thriller based on young adult novel manipulation rebellion symbol uprising jenniferlawrence philipseymourhoffman joshhutcherson francislawrence
198,The Da Vinci Code,tt0382625,mystery thriller based on supposedly true story holy grail mary magdalene opus dei secret tomhanks sethgabel jürgenprochnow ronhoward
199,Rio 2,tt2357291,adventure animation comedy family musical amazon bird father in law jungle no opening credits miguelferrer rachelcrow jeffreygarcia carlossaldanha
200,X-Men 2,tt0290334,action adventure fantasy sci-fi thriller mutant prison professor school x men hughjackman brucedavison aaronstanford bryansinger
201,Fast Five,tt1596343,action crime thriller drug lord drugs federal agent heist police paulwalker vindiesel dwaynejohnson justinlin
